204
8
S,8,8,7,0,8.75,0,0,0
S,8,8,8.5,8.5,7.5,8.5,8.5,0
E,10,10,10,9.8,9.5,9.8,10,0.5
G,10,8,5.5,5,9.25,9.75,8,0
F,6,8,9.5,9.75,9.9,5,10,0
G,8,7,4,10,9.9,9.75,10,0
S,7,7,6,7.5,8.25,9,9.9,0
G,9.75,6,5,8,6.5,9.5,7.5,0.1
E,10,10,10,9.5,9,10,9.9,0.2
F,9.8,0,0,7,4,7,8,0
E,10,10,10,10,9.9,10,10,0.5
G,10,8,9.9,9.9,9.75,9.75,8,0
G,8,9.25,8,9.5,6.5,10,9.9,0
G,10,10,9.8,10,9.8,10,10,0.1
G,9.5,7,10,9.8,9.6,10,8,0
G,8.5,8,9.5,9.8,9,9.25,9.5,0
E,10,10,10,9.9,10,10,10,0.3
G,8,6,7,9.25,9,8.75,9.5,0
G,9.5,9,10,9.8,9.25,10,8.5,0
G,9.25,10,9.5,10,9,10,9.8,0.1
G,9.25,9.75,10,10,9.9,10,10,0
E,10,10,10,10,10,10,10,0.5
G,9.5,8.8,10,10,6.5,10,9.25,0
E,10,9.9,10,9.5,10,10,10,0.5
G,9.2,7.75,8,9,9.8,9.75,7.5,0
E,9,10,10,10,10,9.8,10,0.1
G,10,7.6,5.8,9.8,9.5,9.5,9.8,0
S,8,6,0,0,5.75,8,8,0
G,7,10,8,10,8,10,10,0
E,10,9.8,9.8,9,9,10,10,0
E,10,10,9.8,9.5,9.5,10,9.8,0
E,10,10,10,10,10,10,10,0
E,10,8.8,9.8,0,8.5,9.75,10,0
G,8,8.8,9.5,9.5,5,5.75,8.75,0
G,9.7,8.7,8,9.5,9.25,5.75,10,0
E,10,9.3,9.5,10,5.75,9.75,8.75,0
G,10,10,7.6,7,8,9.75,9.25,0
G,10,10,9,9.8,9.25,10,9.5,0
G,10,8.5,9,10,7,9.75,9,0
E,10,10,10,10,10,10,10,0.5
E,10,10,9.5,9.9,10,10,9.5,0
S,10,9.75,9.25,9.8,9.9,10,9.5,0
G,9.8,9.5,9.9,10,9.5,10,9.6,0
E,10,10,10,10,10,10,10,0.4
E,10,10,10,10,10,10,10,0.4
G,6,10,10,10,10,10,9.6,0.1
G,5.5,8.4,10,10,6,10,0,0
S,8,7,3,3,5.75,6,9.6,0.2
E,10,10,9.75,10,9.8,10,9.8,0.5
G,9.8,5.8,9.25,9.25,8.25,9.5,9.25,0
G,10,9.8,10,9.8,10,9.9,10,0
S,7,8,6,0,9.25,9,0,0
E,10,10,10,10,10,10,9.8,0.5
E,10,9,10,10,9,10,10,0.4
S,10,9,9.75,9.5,10,0,10,0
G,10,10,10,10,9,10,10,0
G,10,5.1,9.75,9.75,9,9.75,10,0
G,10,9,9.75,10,10,10,10,0
G,10,10,10,9.5,10,10,10,0.2
E,10,9,10,9.5,9,10,10,0.4
S,10,5.4,9.5,9.5,10,10,8.5,0
S,10,5.1,9,9.5,9,10,0,0
E,10,10,10,10,10,10,10,0.4
G,10,9,10,10,10,10,10,0.2
E,10,10,10,10,10,10,10,0
E,10,9.5,10,10,10,10,10,0.2
G,10,10,10,10,10,10,10,0.1
E,9,10,10,10,10,10,10,0.4
F,9.5,10,7,10,10,9,1,0
E,10,10,10,10,10,10,10,0.3
S,10,8,9,10,10,10,1,0
E,10,10,10,10,10,10,10,0.4
E,10,10,10,10,10,10,10,0.4
S,10,6,10,6,0,8,1,0
G,10,10,10,9.5,10,10,10,0
G,9,10,10,10,10,10,10,0.1
E,10,10,10,10,10,10,10,0
E,9,10,10,10,10,10,10,0.5
G,8,9,9,10,10,10,10,0
G,9,8,10,10,8,10,10,0
G,10,9,10,10,10,10,10,0
E,10,10,10,10,10,10,10,0
G,10,9,10,10,9.25,10,10,0
G,10,10,10,9,9.9,10,10,0
S,9,10,6,10,10,1,10,0
G,9.5,9,10,10,10,10,1,0
S,10,10,10,10,8,10,10,0
G,10,10,10,10,10,10,10,0.2
E,10,10,10,10,10,10,10,0.5
S,9,10,10,10,10,10,10,0
G,10,10,9,9,6,10,0,0
G,6,8,8,10,8,10,10,0
E,10,10,10,10,10,10,10,0.3
S,10,10,9.5,8.5,8.75,10,10,0
S,10,9,10,9,10,10,10,0
S,5.4,0,0,0,0,0,10,0
E,10,9.5,9.5,9,10,10,10,0
G,10,9,8.5,9,10,9,10,0.2
E,10,10,10,10,10,10,10,0.3
G,10,8.5,8.5,9.5,9,8,8,0
E,10,10,10,10,10,10,10,0.5
G,10,10,9,8.5,9.25,8,10,0
G,10,10,5.1,9.5,5.1,8.5,8,0
G,6,10,8,6,8,8,10,0
G,9,9.25,10,10,10,10,8,0.2
E,9.2,10,10,9.75,10,10,10,0.3
E,10,10,9.5,9.5,9.9,9.5,10,0.5
S,8,6,9,9.7,5.5,0,9,0
G,9.9,10,10,10,10,9.8,10,0.1
G,8.5,9.75,9.25,9.9,9.75,9,9,0
G,10,9.5,9,10,9.5,9.5,8.5,0
G,7,5,8.5,9,9.5,8.5,9.5,0
G,10,10,10,10,9.75,10,10,0.1
G,9.2,9.75,9.5,9.8,9.75,9.5,9,0
G,8,6,9.5,9.5,8.75,10,9,0
G,10,10,10,10,10,10,10,0
E,10,10,10,10,10,10,10,0.1
E,10,10,10,10,10,10,10,0
G,10,8,9,8,10,10,10,0
E,10,9.5,9.75,9.5,10,10,10,0
G,10,8.5,9.5,9.5,7,9.5,10,0
G,10,9.5,9.5,10,10,10,10,0
G,10,10,9.5,10,10,10,10,0
E,10,10,10,10,9.5,10,10,0.3
E,10,9.5,10,10,10,10,10,0.5
E,10,10,10,10,10,10,10,0
E,10,10,9.5,9.5,9,10,10,0.1
G,10,9,9.5,10,8,10,10,0.2
G,10,10,9.5,10,10,10,10,0.1
E,10,10,9.75,10,9,10,10,0.3
G,10,10,9.5,10,10,10,10,0.2
F,9.6,9.5,9.7,0,7,7,0,0
G,8.5,9.75,10,9.8,9.5,9.5,9,0
E,10,10,10,9.8,10,9.75,9.9,0.5
E,10,9.75,10,10,10,9.5,10,0.2
E,10,9.5,10,10,9.75,9.5,10,0.5
F,10,8.5,6,0,9.75,4,9.9,0.1
G,9.9,9.5,10,10,9.75,9.5,9.5,0
G,10,8,10,10,10,9.9,9,0
E,10,10,10,10,10,10,9.5,0.1
G,10,10,10,9.8,10,10,9.9,0
F,8.5,5,5,0,5,0,9,0
G,7,8.5,3,9.75,8.75,0,9,0
S,8,4.2,3,7,7.5,7,10,0
S,3,5.4,7,10,8,10,9.75,0
E,10,10,10,10,9.5,10,10,0
E,9.5,9,8.5,9.5,5.4,10,10,0
G,10,9.5,5.4,9.5,10,10,10,0
G,10,9,9.5,9,10,10,10,0
G,10,8.5,10,10,10,10,10,0
S,7,8.5,8.5,8,5.25,10,10,0
G,10,10,10,10,10,10,10,0.5
G,10,10,10,9,9.5,10,9.5,0
G,9,10,10,8,10,10,10,0.1
S,10,6.6,5.4,0,6,8,10,0
G,9.5,8.5,9,9,5.4,10,7,0
S,0,3.6,0,6,4.8,10,8,0
S,9,8.5,5.7,9.75,7.5,0,7,0
S,10,10,9.5,10,9.5,9,10,0
S,9,7.2,9.5,9.5,9,10,9,0
G,10,8.5,9,10,8.5,7,10,0
S,9,4.8,5.7,9.5,7.5,6,10,0
S,10,0,5.4,9,8.5,10,0,0
G,10,10,9,10,10,10,10,0
G,10,8,9,9,10,10,10,0
G,10,8,9,10,7,10,10,0
S,10,6,4.8,4.8,9,10,9.5,0
S,8.5,6,5.4,9,8.5,8,8,0
G,10,7.4,9.5,0,10,10,8,0
E,10,9.5,10,10,10,10,10,0.5
G,10,9.5,10,9.5,10,10,10,0
E,10,9.5,9,9,9.5,10,10,0.1
E,10,9.5,9,9.75,9.5,10,10,0.4
G,10,10,10,10,10,10,10,0
E,10,10,10,10,10,10,10,0.5
S,10,8.5,6,5.6,6,8,0,0
G,9,9,9.5,8.5,10,10,8,0
G,10,9,10,10,9,10,10,0
G,10,10,9.5,5.6,10,0,7,0
E,10,9.5,10,9.5,10,10,9.75,0.5
G,10,9,10,9.5,9.5,10,10,0.1
G,9,8,9.25,8.5,8,8.5,8,0.1
S,7,8,3,0,9.5,0,8.5,0
G,10,9.5,10,9,9.5,10,10,0.1
G,10,9,8.5,8.5,9.75,10,0,0
F,8,1,1,10,1,1,1,0.1
S,10,6.4,4.2,9,8.75,10,10,0
G,10,7,10,7,10,7,10,0.1
G,10,10,10,0,10,9.9,10,0.1
G,10,10,10,10,10,10,10,0
E,10,10,10,9.9,9.5,10,10,0
E,10,10,10,10,10,10,10,0.3
S,9,2.4,0,9,9.75,10,0,0
S,0,5.4,6,0,6,8,10,0
E,8,10,9.5,9.5,10,10,10,0.4
S,10,9.8,10,9.8,3,0,0,0
G,10,10,10,10,10,10,10,0.5
S,8,7,10,9,5,0,0,0
S,9,0,0,0,0,0,9,0
G,8,8,8,10,9,10,10,0
G,7.2,6,0,0,8,10,10,0
S,5.8,5.8,9,0,9,6,9.6,0
S,1,1,1,1,8,10,10,0
S,6,8,10,0,10,10,6,0
