168
10
S,10,9.6,7,0,10,0,0,6.5,9.9,0
S,10,6,10,10,10,10,10,10,5,0
E,9.2,10,10,10,10,10,10,10,10,6
G,9,9.2,10,10,10,10,10,8.45,9.9,2
G,9.25,9.2,10,10,9.4,10,10,6,9.9,4
S,9.5,9.2,10,0,10,10,10,10,10,0
G,10,10,10,10,10,10,10,10,9.25,5
S,10,10,10,10,9.2,10,10,5,6.25,0
E,10,9.2,10,10,10,10,10,8.25,10,2
S,10,9.2,10,10,10,10,10,6,9.9,1
E,10,10,10,10,10,10,10,10,10,6
E,10,10,10,10,10,10,10,10,10,6
G,10,9.2,10,10,10,10,10,10,10,3
G,9.6,10,10,10,10,10,10,7.25,10,3
G,10,10,10,10,10,10,10,10,10,0
G,10,10,0,6,10,10,10,10,10,0
S,10,10,10,10,10,10,10,8,10,0
E,10,10,10,10,10,10,10,10,10,4
G,10,10,9,10,10,0,10,8,9,0
F,6,10,10,10,10,10,9.5,10,5,1
S,10,10,10,8,8,10,10,7,8,1
S,8,10,10,0,0,0,9,10,7,0
S,10,10,10,10,10,10,10,5,10,0
S,8.8,10,10,10,10,10,10,5.5,7.5,1
G,10,10,10,8,10,9.8,10,4,8.75,3
S,6,10,10,10,6,10,8,10,4,2
E,10,10,10,10,10,10,10,10,10,4
G,10,10,10,10,10,10,10,8.25,10,4
S,8.8,10,10,10,5.8,9.75,10,10,10,0
G,9.5,10,10,0,4.3,0,10,5,10,1
G,10,10,10,10,10,10,10,4.5,9.25,2
S,8.8,10,10,10,10,10,10,10,8,0
G,9.25,10,10,10,10,10,10,8.5,10,0
S,10,10,6,9,10,9,9.5,4,7,0
E,10,10,10,10,9.5,10,10,10,10,4
S,10,10,10,10,10,10,9.5,10,10,1
S,10,10,10,10,10,9.5,9.5,9,8.5,2
S,10,9,10,6,8,8,8,8.5,9.5,0
S,10,10,10,10,10,0,9.5,5,8,0
G,10,10,10,10,9.5,10,10,10,7.5,1
G,10,10,10,10,10,8,8,10,6,3
E,10,9.5,10,10,10,10,10,10,10,5
G,9,10,10,10,9.5,10,9.5,10,9,1
G,9.5,0,0,0,10,7.5,9.5,5,5,2
E,10,10,10,10,10,10,9.5,10,9.8,4
S,10,9,10,10,9,9.5,9.5,9,5,0
G,10,10,10,10,10,10,10,10,9,1
S,10,10,10,10,8,10,10,10,10,2
G,10,10,10,10,10,10,10,10,9.5,2
G,10,10,10,10,10,10,10,10,10,3
E,10,10,10,10,10,10,10,10,10,6
F,10,10,10,10,0,0,0,6,9,1
S,10,10,10,8,10,10,10,10,9.8,0
G,10,10,10,10,10,10,10,10,10,4
G,10,10,10,10,10,0,10,10,10,1
G,10,10,10,10,10,10,10,5,10,4
F,4,10,9,0,10,0,0,5,6,0
G,10,10,10,0,10,10,10,8.5,10,0
G,10,9.25,10,10,10,9.5,8,5,5,2
G,10,10,9,8,8.5,10,10,8,8.5,1
E,10,10,10,10,9.5,10,10,10,10,2
E,10,10,10,10,10,10,10,10,10,4
G,10,10,10,10,10,10,10,8.5,9.5,2
S,10,9,5,9,8.5,9,9.5,5,9,0
G,10,10,10,8,10,10,10,10,10,4
G,9,9,9,9,9,7,9.5,5,8.5,1
S,9,9,9,9,9,10,10,5,9.5,1
F,10,10,9,9,0,0,10,5,5,0
S,8,8,5,6,9,9,7.5,5,9.5,1
E,10,9,10,9.5,9.5,10,10,5,10,2
G,10,9,9,10,10,9.5,10,6,10,5
G,10,5,10,10,9.5,10,10,6,5.5,3
S,10,10,10,9,5,0,0,8,5,0
E,10,10,10,10,10,10,9.5,9.5,10,1
G,8.5,10,10,10,10,8.5,10,10,7,1
S,10,8,10,10,10,10,9.5,10,10,1
E,10,10,10,10,10,10,10,10,10,5
S,10,9.5,5,6,10,9.5,10,6,5,0
E,10,10,10,10,10,10,10,10,10,5
G,10,9.5,10,10,10,10,10,7,10,1
G,10,9.5,10,10,10,10,10,9.5,10,4
S,10,10,10,9,9,10,10,8.5,10,0
G,10,10,10,10,9,9.5,9.5,10,10,0
S,10,9.5,10,10,0,10,9.5,5,9.5,0
E,10,9.5,10,10,10,10,10,10,10,4
G,10,10,10,10,10,10,10,10,10,3
E,10,10,10,10,10,10,10,10,10,5
E,10,10,10,10,10,10,10,10,10,5
G,10,0,0,0,10,8,5,5,10,2
F,10,0,0,6,0,0,0,5,5,0
G,10,10,10,9,10,10,10,10,10,4
S,10,10,10,8,10,8,9,9.5,10,1
G,10,10,10,10,10,10,10,10,10,1
G,10,10,10,10,9.5,7,10,8.5,10,0
G,10,10,10,9,10,10,9.5,8,8,3
G,10,10,8,10,9.5,10,10,10,10,5
G,10,10,10,8,7,8,8,7,7,1
G,10,10,10,10,10,10,10,10,9,3
G,10,10,10,9,10,10,10,10,10,4
G,10,10,9.5,10,9.5,10,10,8,10,1
G,10,10,10,10,10,10,10,10,9,3
S,10,10,10,10,8.5,10,10,9,8.5,2
S,10,6,9,0,0,9,8.5,8,6,0
S,10,10,10,10,10,10,10,10,5,0
E,10,10,10,10,10,10,10,10,10,3
E,10,10,10,10,9.5,9,10,10,9,5
G,10,10,8,10,9.5,10,10,8.25,10,2
S,10,10,10,9,5,0,10,10,7,0
S,10,10,9,10,9.5,10,10,10,5,1
G,10,10,10,10,10,10,10,10,10,1
E,10,10,10,10,10,7,10,10,10,1
S,10,10,9,8,8,8.5,9,6,5,0
E,10,10,10,10,10,10,10,10,10,4
S,10,5,10,8,5,0,0,9,7,0
E,10,10,10,10,10,10,10,10,10,4
S,9,10,10,8,6,0,9.5,9.75,9,1
S,6,10,9.5,10,10,10,10,8.75,9.75,2
G,9,10,10,10,10,0,8,8.75,6.25,2
E,10,10,10,10,10,10,10,10,10,5
S,8,4.5,7.5,0,1,0,3,5.25,10,0
E,9.2,10,10,10,10,10,10,10,8.75,1
E,10,10,10,10,10,10,10,10,10,5
E,10,10,10,10,10,10,10,9.9,10,6
S,10,10,10,10,10,0,9.9,10,10,0
S,8.8,10,6,0,0,0,8,9,8.75,0
G,10,6,10,10,10,6,10,7,10,1
G,4,10,10,10,6,0,10,7,6,3
S,10,6,10,10,7.5,0,10,6,8,0
G,10,10,10,10,6,10,10,5,6,2
G,10,10,10,10,8,10,10,7,10,2
E,10,10,10,10,10,10,10,6,10,4
E,10,10,10,10,10,10,10,10,10,5
G,10,6,10,10,10,6,10,10,10,3
E,10,10,10,10,10,10,10,7,10,4
S,10,5,0,0,5,10,10,3,7,1
S,10,8,10,10,8,10,10,10,6,2
G,10,10,10,9.5,10,10,10,10,10,3
G,10,10,10,10,10,10,10,6,10,2
G,0,8,10,8,10,10,10,10,8,2
S,10,8,10,10,10,10,10,5,8,0
S,10,10,8,10,10,10,0,5,10,1
E,9.5,10,10,10,10,10,10,10,10,2
S,10,9.5,10,10,10,10,10,10,7,0
G,10,10,10,10,9.5,10,10,10,6,1
G,10,8,10,10,10,10,10,10,10,1
E,10,10,10,10,9.5,10,10,10,10,4
G,10,10,10,10,10,10,10,10,6,3
G,10,10,10,10,10,6,10,10,10,2
