168
10
E,10,10,10,10,10,10,10,10,10,4
E,10,10,10,10,10,10,10,10,10,5
E,10,10,10,6,10,10,0,10,10,5
E,10,10,10,10,10,10,10,10,10,5
G,10,10,10,10,10,10,10,9,10,0
G,10,10,10,10,10,10,10,7,10,1
G,10,6,10,10,5,6,10,9.5,10,1
G,10,10,10,10,10,10,10,7,10,1
S,10,10,10,10,10,0,10,10,8,0
E,10,10,10,10,10,10,10,10,10,5
S,10,6,10,0,10,0,8,7,10,0
S,10,9.5,10,10,10,10,10,10,10,1
S,10,9.5,10,10,9,10,10,10,10,1
F,0,8.5,8,8.5,8,9.5,0,5,5,0
S,10,9,10,10,10,10,10,10,10,0
G,10,10,10,10,6,10,9,6,10,4
S,10,6,6,6,8,8,10,1,5,0
G,8,10,10,10,10,10,10,10,10,5
S,10,10,10,8,0,0,0,10,8,0
F,6,9.2,10,10,6,7,5.5,1,0,0
