nota_finala,R1,P1,P2,P3,L1,L2,L3,practic_prolog,practic_lisp,Punctaj_seminar,Nr_prezente_seminar
6,10,9,10,10,6,10,10,9,10,5,6
6,10,6,6,0,8,8,10,10,9,1,6
10,9,10,10,10,10,10,10,9,10,10,7
10,10,10,10,10,10,10,10,10,9,6.5,7
7,10,10,10,0,10,10,10,9,7.35,5,6
6,10,10,10,10,8,8,0,5.5,6.85,6.5,7
6,9,10,10,10,10,10,10,4.85,9,5,6
8,8,9,9.5,10,8,8,10,10,10,5,7
8,8,10,10,10,10,10,10,10,6.95,6.5,7
7,9,10,10,10,10,10,10,10,10,6.5,7
8,9.5,10,7.5,10,5.5,0,10,9,9.25,5,5
9,10,10,10,10,10,10,10,10,10,6.5,7
7,7.5,10,8,0,0,0,10,5.65,4.5,5,5
8,9,10,10,0,10,10,10,10,8.3,2.5,6
8,10,10,10,10,10,10,10,10,8.5,2.5,7
6,9.8,10,10,0,6,6,0,5.75,9.9,2.5,5
5,9.6,9.5,6,0,6,0,9,6.75,6.5,2.5,5
6,10,6,9,10,5.9,9.8,10,9,8.25,2.5,7
7,8.5,10,10,0,6,10,10,5.5,10,2.5,6
8,8.5,6,10,10,10,10,10,7.75,8.5,12.5,6
7,10,10,10,10,10,10,10,9.9,6.5,2.5,7
6,9.2,6,3,0,6,0,10,6.25,6,2.5,6
7,8,10,10,10,10,10,10,9.75,10,5,6
7,10,10,10,9.5,10,10,10,5.5,9.5,6.5,7
9,9.5,10,10,10,10,10,10,10,10,5,6
8,10,10,9,10,10,10,10,9.5,6.25,8,7
9,10,10,10,10,10,10,10,10,9.9,5,7
10,10,10,10,10,10,10,10,10,10,9.5,7
6,6,6,7,10,7.5,10,8,8,10,5,6
10,8.5,10,10,10,10,10,10,10,10,6.5,7
9,10,10,10,10,10,10,10,10,9.9,6.5,7
7,10,8,0,0,7,10,0,6.9,9.5,8,7
9,10,9.5,10,0,6,10,10,9,10,6.5,7
9,10,10,10,10,10,10,10,8.75,9.25,6.5,7
9,10,10,10,10,10,10,10,10,9,6.5,7
9,9.5,9,10,10,10,10,10,9.75,10,8,7
10,10,10,10,5.5,6,10,10,6.75,8.5,6.5,7
9,10,10,10,10,10,10,10,10,7.25,12.5,7
8,7,5.5,10,10,7.5,9.8,8,6.25,8.25,7.5,6
9,8,10,10,10,8,10,10,9.8,10,10,6
10,10,10,10,10,10,10,10,10,10,5,7
6,10,6,10,10,10,10,10,5,4.5,5,6
7,10,10,10,10,10,10,10,10,10,12.5,7
6,9,6,6,0,6,0,10,6.5,7.75,5,7
7,10,10,10,10,10,10,10,10,6.5,2.5,6
7,10,9,10,10,10,10,10,9.25,6.75,7.5,7
8,10,10,0,0,6,0,0,9.25,10,5,6
9,10,9.5,0,0,10,10,10,8,8.5,8,6
7,9.5,10,10,10,10,10,10,10,10,8,7
5,9.5,7.2,10,0,0,0,10,6.75,6.5,1,5
10,10,10,10,10,10,10,10,10,9.85,5,7
9,9,10,10,10,10,10,10,9.9,10,5,5
8,10,10,10,10,10,10,10,10,7.75,1,5
7,9.5,10,10,10,10,10,10,10,10,8,7
8,10,10,10,10,10,10,10,9.9,9.25,5,6
8,10,10,10,10,10,10,10,9.15,10,2.5,6
6,10,4.8,0,0,6.5,10,10,6.15,10,2.5,5
10,9.2,10,10,10,10,10,10,8.75,10,12.5,7
9,8,10,10,10,10,10,10,10,10,10,7
8,10,10,8,0,8.5,10,10,9.25,10,2.5,6
6,10,6,10,0,6,10,10,4.5,10,5,5
8,6,10,10,10,10,10,10,10,10,7.5,7
9,9,10,10,8,6,10,10,10,9.5,7.5,7
8,6,9.2,10,0,10,10,10,10,9.25,2.5,6
7,9,10,10,10,10,10,10,7.15,6.3,5,7
6,0,10,10,0,0,10,10,6.5,10,2.5,7
8,9.8,10,10,9.5,10,10,10,10,9.8,2.5,6
10,10,10,10,10,10,10,10,10,10,12.5,7
9,10,10,10,10,10,10,10,8,8.4,2.5,7
8,10,10,10,10,10,10,10,5.3,9.25,2.5,6
8,10,10,10,9.5,10,10,10,8.75,9.5,15,6
9,10,10,10,10,10,10,10,10,5.35,6.5,7
9,10,8.5,10,10,10,10,10,10,10,9.5,7
8,8.5,8,10,10,10,10,10,9,10,5,7
8,10,10,10,10,6,10,10,9.25,10,9.5,7
6,9,10,6,0,10,10,10,8.95,10,5,6
10,9.8,10,10,10,10,10,10,10,10,17.5,7
9,10,10,10,10,10,10,10,8.3,10,17.5,7
6,7,6,6,10,9.5,10,10,5,8.5,2.5,6
8,10,10,8,10,10,8,10,10,6.5,10,7
8,10,10,10,10,10,10,10,10,8.5,6.5,5
9,9,10,10,10,10,10,10,6.5,9.85,9.5,7
10,10,10,10,10,10,10,10,10,10,6.5,7
8,10,10,10,10,10,10,10,10,8.25,6.5,7
8,6,9,10,10,8,10,10,9.9,7.05,9.5,7
10,10,10,10,10,10,10,10,9.9,7.75,11,7
10,9,10,10,10,10,10,10,9.25,10,9.5,6
10,10,10,10,10,10,10,10,10,9.25,8,7
10,9.5,10,10,10,10,10,10,10,8.5,5,6
8,7.5,10,0,10,6,8,10,9.25,7.5,5,7
9,10,10,10,10,10,10,10,10,5.5,6.5,7
7,9.5,10,10,10,10,10,10,9.75,10,5,7
9,10,10,10,10,10,10,10,10,10,8,7
10,7.5,10,10,10,10,10,10,10,10,8,7
9,10,10,10,10,0,0,10,10,10,9.5,6
9,9.5,10,10,10,9.8,10,10,10,10,10,7
8,10,10,10,10,10,10,10,10,8.75,2.5,7
9,9.4,10,10,10,10,10,10,9,9,2.5,6
10,10,10,9,0,9.5,10,10,9.5,10,10,7
10,10,10,10,10,10,10,10,10,5,12.5,7
9,8,10,10,10,10,10,10,7.25,10,2.5,5
7,10,6,10,10,0,10,10,10,9,2.5,7
8,10,10,10,10,10,10,10,9.75,8,2.5,5
10,9.5,10,10,10,10,10,10,10,7.75,15,7
10,9.5,10,10,10,10,10,10,9.5,10,10,7
10,10,10,10,10,10,10,10,10,10,6.5,7
10,10,10,10,10,10,10,10,10,9.75,6.5,7
10,10,10,10,10,10,10,10,7,10,10.5,6
10,10,10,10,10,10,10,10,9.25,10,11,7
10,10,10,10,10,10,10,10,9.8,10,6.5,6
10,8,10,10,10,10,10,10,9.7,10,6.5,7
7,9,10,10,10,10,10,10,6.75,10,6.5,5
7,10,10,10,10,10,10,10,9.9,10,5,5
6,10,10,10,10,8,10,10,9,9.5,1,5
10,9.5,10,10,10,10,10,10,9.9,10,8,7
8,10,10,10,10,10,10,10,10,8.25,9.5,7
8,10,10,10,10,10,10,10,6.5,10,6.5,7
7,9,6,10,10,6,10,10,8.25,10,5,7
10,10,10,10,10,10,10,10,10,9.25,8,7
