168
10
5,10,9.6,7,0,10,0,0,6.5,9.9,0
6,10,6,10,10,10,10,10,10,5,0
10,9.2,10,10,10,10,10,10,10,10,6
8,9,9.2,10,10,10,10,10,8.45,9.9,2
8,9.25,9.2,10,10,9.4,10,10,6,9.9,4
6,9.5,9.2,10,0,10,10,10,10,10,0
8,10,10,10,10,10,10,10,10,9.25,5
6,10,10,10,10,9.2,10,10,5,6.25,0
9,10,9.2,10,10,10,10,10,8.25,10,2
6,10,9.2,10,10,10,10,10,6,9.9,1
10,10,10,10,10,10,10,10,10,10,6
9,10,10,10,10,10,10,10,10,10,6
8,10,9.2,10,10,10,10,10,10,10,3
7,9.6,10,10,10,10,10,10,7.25,10,3
8,10,10,10,10,10,10,10,10,10,0
7,10,10,0,6,10,10,10,10,10,0
6,10,10,10,10,10,10,10,8,10,0
9,10,10,10,10,10,10,10,10,10,4
7,10,10,9,10,10,0,10,8,9,0
4,6,10,10,10,10,10,9.5,10,5,1
6,10,10,10,8,8,10,10,7,8,1
6,8,10,10,0,0,0,9,10,7,0
6,10,10,10,10,10,10,10,5,10,0
6,8.8,10,10,10,10,10,10,5.5,7.5,1
7,10,10,10,8,10,9.8,10,4,8.75,3
6,6,10,10,10,6,10,8,10,4,2
9,10,10,10,10,10,10,10,10,10,4
8,10,10,10,10,10,10,10,8.25,10,4
6,8.8,10,10,10,5.8,9.75,10,10,10,0
7,9.5,10,10,0,4.3,0,10,5,10,1
8,10,10,10,10,10,10,10,4.5,9.25,2
6,8.8,10,10,10,10,10,10,10,8,0
8,9.25,10,10,10,10,10,10,8.5,10,0
5,10,10,6,9,10,9,9.5,4,7,0
10,10,10,10,10,9.5,10,10,10,10,4
6,10,10,10,10,10,10,9.5,10,10,1
6,10,10,10,10,10,9.5,9.5,9,8.5,2
6,10,9,10,6,8,8,8,8.5,9.5,0
6,10,10,10,10,10,0,9.5,5,8,0
7,10,10,10,10,9.5,10,10,10,7.5,1
7,10,10,10,10,10,8,8,10,6,3
9,10,9.5,10,10,10,10,10,10,10,5
8,9,10,10,10,9.5,10,9.5,10,9,1
7,9.5,0,0,0,10,7.5,9.5,5,5,2
9,10,10,10,10,10,10,9.5,10,9.8,4
6,10,9,10,10,9,9.5,9.5,9,5,0
8,10,10,10,10,10,10,10,10,9,1
6,10,10,10,10,8,10,10,10,10,2
7,10,10,10,10,10,10,10,10,9.5,2
7,10,10,10,10,10,10,10,10,10,3
10,10,10,10,10,10,10,10,10,10,6
4,10,10,10,10,0,0,0,6,9,1
6,10,10,10,8,10,10,10,10,9.8,0
8,10,10,10,10,10,10,10,10,10,4
7,10,10,10,10,10,0,10,10,10,1
7,10,10,10,10,10,10,10,5,10,4
4,4,10,9,0,10,0,0,5,6,0
8,10,10,10,0,10,10,10,8.5,10,0
7,10,9.25,10,10,10,9.5,8,5,5,2
7,10,10,9,8,8.5,10,10,8,8.5,1
9,10,10,10,10,9.5,10,10,10,10,2
10,10,10,10,10,10,10,10,10,10,4
7,10,10,10,10,10,10,10,8.5,9.5,2
6,10,9,5,9,8.5,9,9.5,5,9,0
7,10,10,10,8,10,10,10,10,10,4
7,9,9,9,9,9,7,9.5,5,8.5,1
6,9,9,9,9,9,10,10,5,9.5,1
4,10,10,9,9,0,0,10,5,5,0
5,8,8,5,6,9,9,7.5,5,9.5,1
9,10,9,10,9.5,9.5,10,10,5,10,2
7,10,9,9,10,10,9.5,10,6,10,5
7,10,5,10,10,9.5,10,10,6,5.5,3
5,10,10,10,9,5,0,0,8,5,0
9,10,10,10,10,10,10,9.5,9.5,10,1
7,8.5,10,10,10,10,8.5,10,10,7,1
6,10,8,10,10,10,10,9.5,10,10,1
10,10,10,10,10,10,10,10,10,10,5
5,10,9.5,5,6,10,9.5,10,6,5,0
10,10,10,10,10,10,10,10,10,10,5
7,10,9.5,10,10,10,10,10,7,10,1
8,10,9.5,10,10,10,10,10,9.5,10,4
6,10,10,10,9,9,10,10,8.5,10,0
7,10,10,10,10,9,9.5,9.5,10,10,0
5,10,9.5,10,10,0,10,9.5,5,9.5,0
10,10,9.5,10,10,10,10,10,10,10,4
8,10,10,10,10,10,10,10,10,10,3
9,10,10,10,10,10,10,10,10,10,5
9,10,10,10,10,10,10,10,10,10,5
7,10,0,0,0,10,8,5,5,10,2
4,10,0,0,6,0,0,0,5,5,0
8,10,10,10,9,10,10,10,10,10,4
6,10,10,10,8,10,8,9,9.5,10,1
8,10,10,10,10,10,10,10,10,10,1
7,10,10,10,10,9.5,7,10,8.5,10,0
8,10,10,10,9,10,10,9.5,8,8,3
8,10,10,8,10,9.5,10,10,10,10,5
7,10,10,10,8,7,8,8,7,7,1
8,10,10,10,10,10,10,10,10,9,3
7,10,10,10,9,10,10,10,10,10,4
8,10,10,9.5,10,9.5,10,10,8,10,1
8,10,10,10,10,10,10,10,10,9,3
6,10,10,10,10,8.5,10,10,9,8.5,2
6,10,6,9,0,0,9,8.5,8,6,0
6,10,10,10,10,10,10,10,10,5,0
9,10,10,10,10,10,10,10,10,10,3
10,10,10,10,10,9.5,9,10,10,9,5
8,10,10,8,10,9.5,10,10,8.25,10,2
6,10,10,10,9,5,0,10,10,7,0
6,10,10,9,10,9.5,10,10,10,5,1
8,10,10,10,10,10,10,10,10,10,1
9,10,10,10,10,10,7,10,10,10,1
5,10,10,9,8,8,8.5,9,6,5,0
9,10,10,10,10,10,10,10,10,10,4
6,10,5,10,8,5,0,0,9,7,0
9,10,10,10,10,10,10,10,10,10,4
6,9,10,10,8,6,0,9.5,9.75,9,1
