nota_finala,R1,P1,P2,P3,L1,L2,L3,Punctaj_seminar,Nr_prezente_seminar,Nota_FP
9,9.5,9.9,9.5,10,10,10,10,0.5,7,8
10,10,10,9.8,9.8,9.25,9.9,10,0.5,7,8
8,9,8.4,9.75,9.8,7,10,10,0.125,7,9
9,9.6,10,9.8,10,10,10,10,0.125,7,9
8,10,7,9,9.5,9.5,10,10,0.125,7,9
8,10,9,8.3,9.75,9.75,10,9.5,0,7,9
7,10,8.7,9.5,9,8.9,10,10,0,7,9
10,10,8.5,9.25,9.25,10,10,10,0.25,7,9
7,8,9,10,10,10,10,10,0,7,9
9,7,9,9.5,9.5,9.9,10,10,0.125,7,9
10,10,10,10,10,10,9.7,10,0.5,7,9
10,9.5,10,10,10,10,10,10,0.5,7,9
7,10,9.8,9.8,10,9.8,9.5,9.8,0,7,9
9,10,10,10,10,10,10,10,0,7,9
9,10,9,10,10,10,9.8,10,0.5,7,9
8,10,10,10,10,9.75,9.9,10,0,7,9
10,10,10,10,10,9.75,10,10,0.5,7,9
9,10,9.9,9.9,10,10,10,10,0,7,10
10,10,9.5,10,10,10,10,10,0.5,7,10
8,10,7.5,8.3,9.5,10,10,10,0.25,7,10
10,10,10,10,10,10,10,9.9,0.5,7,10
10,10,10,9.9,10,9,10,10,0.5,7,10
9,10,9.25,10,10,10,10,10,0,7,10
10,10,10,10,10,10,10,10,0.5,7,10
9,10,10,10,9.9,10,10,10,0.5,7,10
7,10,7.5,8,10,4,10,8,0,7,10
9,10,9,9.5,10,9.9,10,9,0,7,10
9,10,10,9,8.75,10,10,8,0,7,10
10,10,9.75,10,10,10,10,10,0.5,7,10
10,10,10,9.5,10,10,9.8,10,0.5,7,10
9,10,9.5,10,9.8,9.9,10,9,0,7,10
9,9,10,9.75,9.9,10,10,9.9,0.125,7,7
8,10,10,10,10,9.9,10,10,0,7,7
10,10,9.8,8.4,10,9,9,10,0,6,8
10,10,9.8,10,10,10,10,10,0.5,7,8
10,10,10,10,10,9.9,10,10,0.5,7,8
9,10,10,9.9,10,10,10,10,0.125,7,8
10,9,10,9.5,9.9,10,10,10,0.5,7,9
10,10,9.5,10,9.9,10,10,10,0.5,7,9
9,10,10,9.9,10,9.8,10,10,0,7,9
10,10,9.25,10,10,10,10,10,0.5,7,9
10,10,10,10,10,10,10,10,0.5,7,9
9,9.6,10,9.9,9.5,10,10,10,0.5,7,10
10,10,10,10,10,10,9.9,10,0.5,7,10
8,10,10,9,10,9.75,9,8.5,0,6,10
7,10,9.4,9,10,10,10,10,0,7,10
10,10,9.5,10,10,10,10,10,0.5,7,10
10,10,10,10,10,10,10,10,0.25,7,10
10,10,10,10,10,10,10,10,0.375,7,10
10,10,10,10,10,10,10,10,0.5,7,10
10,10,10,10,10,10,10,10,0.5,7,10
10,10,10,10,10,9.75,10,10,0,6,10
10,10,9.8,10,10,10,10,10,0.5,7,10
10,10,10,9,10,10,9.8,10,0.25,7,10
